region,suffix,allocation,demand,cost,generation,windshare,solarshare,capacity,windcapacity,solarcapacity,windpotential
Argentina,CapDen1.0,Opt,345.90095583436624,23.930846904047282,379.3596259288073,0.7376407081909135,0.10513528751177567,105.58382643355228,56.41482500923624,20.12551496497874,2549.788615726262
Azerbaijan,CapDen1.0,Opt,32.45887155999625,36.661623759925,43.2198080651824,0.33875342244378415,0.4183070011784603,15.468823805661959,4.0549724655078565,8.931271255064111,8.138580551113868
Bolivia,CapDen1.0,Opt,19.706484981437974,33.136277309665054,23.697572436069127,0.5656948141364719,0.19962205092618,7.5932769889666,3.3982725997595478,2.328847062742484,299.8429532691828
Côte d'Ivoire,CapDen1.0,Opt,27.306529435224284,37.482449419591774,42.14072321962842,0.016835088964697157,0.633033573270296,14.794957121661227,0.28358297945042193,13.186124593128175,0.2835829812755797
China,CapDen1.0,Opt,13379.414729799119,31.323821032732884,16602.257588724417,0.4660656465410399,0.35701132244242584,5747.4981695526185,2016.4700863095545,2754.7038869664334,4467.782859260272
Croatia,CapDen1.0,Opt,22.91061588489476,26.802627264845647,27.097984208632727,0.39529933008537993,0.29028084439455226,9.88799838024865,2.8306541869314397,4.734298455442728,14.204529233690677
Democratic Republic of the Congo,CapDen1.0,Opt,26.69235567541778,28.290013836241076,30.758651212847447,0.2882060806018456,0.3300684006789767,11.315828243133474,3.1130349032708637,5.219088204415819,8.186852035125584
Ecuador,CapDen1.0,Opt,58.014202687630025,29.99942743064107,69.8776297193285,0.3981636580182244,0.3102758510519527,22.387573087151484,6.321943317833698,11.611360012187923,14.517491409649423
Eritrea,CapDen1.0,Opt,1.374642020028568,29.984545984807653,1.6562890961484622,0.6670583915801438,0.2352032715963685,0.5092287669560057,0.21404754441043475,0.17603716536016928,47.84773626772913
France,CapDen1.0,Opt,638.4810185992749,37.538706576902904,786.9660348765597,0.4501453452260442,0.3358227306668224,330.5815293331682,106.35630974134223,160.69922490104418,332.80202257548046
Greece,CapDen1.0,Opt,79.58377946303682,34.61243461044436,101.72694433005653,0.3996036586087844,0.3760027794216851,35.92437834017775,10.206957808766274,19.177672698598904,31.339680896286694
Iceland,CapDen1.0,Opt,25.105472911962504,18.729937469646792,27.702847877700606,0.4577365300864376,0.06120704343548531,7.5240818507462,2.6665484401959096,1.7607950536420107,133.01455942219752
Iraq,CapDen1.0,Opt,311.15823285623964,36.180001269389706,414.29154394518457,0.38107168476086545,0.43311469519688495,141.38522981073024,44.04303371388733,76.92684328106333,357.7029312787339
Jamaica,CapDen1.0,Opt,9.429831752932252,37.870163253152974,13.838769973429224,0.15868718152100203,0.5445450891874811,4.43678867063262,0.48679154585249573,3.5317142486074196,1.5874262693977157
Kenya,CapDen1.0,Opt,31.884274590590856,26.508214876750966,37.42639638183038,0.5414116365821955,0.2616425835876376,11.101969407911891,3.9037912209752466,4.233457033915656,268.1147525575124
